no;period;age;sampling_weight;german_citizenship;residence_region;household_size;household_income;mainTrip_duration;mainTrip_distance
15839;1983;35;0.827;NA;NA;4 persons;1081;13-15 days;486.8392023
15840;2014;48;0.88;yes;Former West Germany;2 persons;3015;9-12 days;2404.790234
15841;2001;54;0.58;NA;Former West Germany;2 persons;1894;30+ days;2537.395442
15842;2013;40;0.78;yes;Former West Germany;2 persons;1729;NA;NA
15843;1990;70;0.61;NA;Former West Germany;2 persons;2367;NA;NA
15844;1994;62;0.98;NA;Former West Germany;2 persons;2389;13-15 days;338.3876876
15845;1988;54;0.542;NA;NA;2 persons;2937;20-22 days;2019.263133
15846;1981;39;0.082;NA;NA;3 persons;3484;20-22 days;965.2835218
15847;1992;30;0.569;NA;Former East Germany;4 persons;3763;20-22 days;567.1036689
15848;1982;48;1.12;NA;NA;2 persons;1382;20-22 days;7872.908344
15849;2012;70;1.38;yes;Former East Germany;2 persons;2035;NA;NA
15850;1971;35;NA;NA;NA;3 persons;2431;13-15 days;100
15851;1981;24;0.085;NA;NA;3 persons;1742;30+ days;627.9537164
15852;1999;34;0.676;NA;Former West Germany;3 persons;3230;13-15 days;1987.066695
15853;1981;48;0.066;NA;NA;2 persons;2278;NA;NA
15854;1990;45;0.02;NA;Former West Germany;4 persons;3658;20-22 days;1784.693181
15855;1995;48;2.442;NA;Former West Germany;5+ persons;3408;20-22 days;692.1450169
15856;2000;32;0.636;NA;Former West Germany;1 person;1596;13-15 days;7561.103966
15857;2000;45;0.72;NA;Former West Germany;4 persons;2856;13-15 days;708.0480175
15858;2017;63;0.5;yes;Former East Germany;2 persons;2188;6-8 days;100
15859;1993;59;0.664;NA;Former East Germany;2 persons;2013;NA;NA
15860;2017;26;0.74;yes;Former West Germany;1 person;1931;6-8 days;566.8174128
15861;2014;30;0.47;yes;Former West Germany;4 persons;2753;NA;NA
15862;2007;41;0.561;NA;Former West Germany;2 persons;3391;13-15 days;2537.395442
15863;2000;16;1.662;NA;Former West Germany;3 persons;3696;6-8 days;228.2539869
15864;1990;64;0.14;NA;Former West Germany;3 persons;2798;13-15 days;235.8618612
15865;2013;78;1.48;yes;Former East Germany;2 persons;1995;16-19 days;1901.011312
15866;2004;60;1.775;NA;Former West Germany;5+ persons;3564;6-8 days;2507.1399
15867;1977;39;1.38;NA;NA;3 persons;2687;13-15 days;531.3350849
15868;2000;22;0.918;NA;Former West Germany;3 persons;3192;13-15 days;1456.919072
15869;1995;56;0.974;NA;Former West Germany;2 persons;2691;NA;NA
15870;1984;36;0.613;NA;NA;2 persons;3509;16-19 days;100
15871;1973;36;NA;NA;NA;3 persons;4336;30+ days;1229.319249
15872;1991;37;1.25;NA;Former East Germany;3 persons;2304;13-15 days;483.4592655
15873;1999;77;1.327;NA;Former West Germany;1 person;1105;NA;NA
15874;1997;26;0.761;NA;Former East Germany;1 person;784;NA;NA
15875;1979;32;1;NA;NA;3 persons;3279;13-15 days;1658.101316
15876;1983;33;0.87;NA;NA;4 persons;2643;NA;NA
15877;2005;40;2.4708;NA;Former West Germany;3 persons;1061;NA;NA
15878;1993;23;0.616;NA;Former West Germany;2 persons;3259;20-22 days;1658.101316
15879;2017;78;0.93;yes;Former West Germany;1 person;1158;13-15 days;338.3876876
15880;2011;45;1.21;yes;Former West Germany;1 person;969;9-12 days;634.5971157
15881;2007;31;1.5017;NA;Former East Germany;3 persons;2212;NA;NA
15882;1985;32;1.144;NA;NA;4 persons;2983;20-22 days;236.9564795
15883;2012;30;1.02;yes;Former East Germany;1 person;2035;13-15 days;2041.433042
15884;1992;69;0.383;NA;Former West Germany;1 person;2575;20-22 days;317.153503
15885;2017;59;0.47;yes;Former West Germany;2 persons;2445;13-15 days;303.6388071
15886;1978;22;2.8;NA;NA;4 persons;3974;NA;NA
15887;2011;63;0.76;yes;Former West Germany;1 person;692;NA;NA
15888;1998;70;0.94;NA;Former West Germany;1 person;1791;16-19 days;393.382901
15889;1982;32;1.81;NA;NA;2 persons;3768;NA;NA
15890;1993;44;0.1;NA;Former East Germany;2 persons;2492;13-15 days;1785.805229
15891;1989;29;1.327;NA;NA;4 persons;2883;13-15 days;911.5006441
15892;1990;27;0.673;NA;Former West Germany;1 person;1937;NA;NA
15893;1992;40;4.267;NA;Former West Germany;5+ persons;5942;20-22 days;758.6469321
15894;2011;81;0.84;yes;Former West Germany;2 persons;2629;NA;NA
15895;2017;27;0.35;yes;Former West Germany;1 person;1673;23-26 days;1391.414448
15896;1995;43;1.553;NA;Former West Germany;3 persons;3408;20-22 days;816.6255157
15897;2006;44;0.6314;NA;Former West Germany;5+ persons;3439;13-15 days;1849.18562
15898;2011;63;0.64;yes;Former West Germany;2 persons;3183;NA;NA
15899;1997;70;1.181;NA;Former West Germany;1 person;1480;6-8 days;462.9641663
15900;1982;26;0.95;NA;NA;2 persons;2386;9-12 days;462.9641663
15901;1981;46;0.083;NA;NA;4 persons;3484;NA;NA
15902;1972;53;NA;NA;NA;1 person;1510;NA;NA
15903;2002;25;1.4;NA;Former West Germany;5+ persons;3328;13-15 days;157.7178897
15904;1994;70;1.396;NA;Former West Germany;1 person;1746;13-15 days;347.3285266
15905;1992;33;0.426;NA;Former East Germany;4 persons;2971;13-15 days;205.0128421
15906;2001;60;0.82;NA;Former West Germany;2 persons;2470;NA;NA
15907;2003;54;2.218;NA;Former West Germany;4 persons;3291;9-12 days;566.8174128
15908;1984;21;0.481;NA;NA;3 persons;0;6-8 days;150
15909;2003;64;0.679;NA;Former West Germany;1 person;1724;20-22 days;425.0464374
15910;2013;72;0.78;yes;Former West Germany;2 persons;3989;13-15 days;1658.101316
15911;1986;76;1.353;NA;NA;1 person;791;NA;NA
15912;1972;60;NA;NA;NA;1 person;839;NA;NA
15913;2004;49;0.908;NA;Former West Germany;2 persons;2635;13-15 days;1964.687286
15914;2012;51;1.64;yes;Former West Germany;4 persons;3528;13-15 days;337.7000277
15915;1992;58;3.616;NA;Former West Germany;3 persons;1386;9-12 days;255.3425797
15916;2012;42;0.94;yes;Former West Germany;4 persons;2578;NA;NA
15917;1979;51;2.05;NA;NA;5+ persons;2236;NA;NA
15918;1997;55;1.754;NA;Former West Germany;3 persons;2612;9-12 days;1784.693181
15919;1991;48;0.689;NA;Former West Germany;2 persons;3142;6-8 days;337.7000277
15920;1994;69;1.268;NA;Former West Germany;2 persons;1930;6-8 days;472.6725418
15921;1996;46;0.5031;NA;Former West Germany;1 person;1149;30+ days;1642.291852
15922;1989;18;1.55;NA;NA;2 persons;2439;NA;NA
15923;2009;43;1.03;NA;Former West Germany;2 persons;5088;9-12 days;522.8500543
15924;2015;42;1.27;yes;Former West Germany;4 persons;7851;6-8 days;627.9537164
15925;2000;44;0.592;NA;Former West Germany;1 person;3192;20-22 days;280.9512619
15926;1995;27;0.733;NA;Former West Germany;3 persons;1704;13-15 days;719.5371174
15927;1999;60;0.705;NA;Former West Germany;1 person;1105;9-12 days;337.7000277
15928;1978;45;0.36;NA;NA;1 person;2293;9-12 days;183.7680339
15929;1991;40;0.871;NA;Former East Germany;3 persons;1885;6-8 days;285.0379569
15930;2011;56;1.24;yes;Former East Germany;2 persons;415;NA;NA
15931;2014;40;0.64;no;Former West Germany;4 persons;2491;16-19 days;1512.359232
15932;1993;70;1.882;NA;Former West Germany;1 person;863;NA;NA
15933;1981;62;0.056;NA;NA;2 persons;2010;20-22 days;337.7000277
15934;1972;69;NA;NA;NA;2 persons;1510;9-12 days;196.9422405
15935;1999;22;0.69;NA;Former West Germany;1 person;1275;30+ days;2326.777227
15936;2002;78;1.46;NA;Former West Germany;2 persons;2694;NA;NA
15937;2016;59;0.86;yes;Former West Germany;1 person;914;6-8 days;310.9884945
15938;1976;62;1.16;NA;NA;2 persons;2786;13-15 days;2367.982009
15939;2012;51;1.69;yes;Former West Germany;4 persons;8141;16-19 days;6143.568531
15940;1976;50;1;NA;NA;2 persons;1803;NA;NA
15941;2013;62;0.98;yes;Former East Germany;2 persons;1463;6-8 days;415.1992854
15942;1990;30;0.985;NA;Former West Germany;4 persons;2367;NA;NA
15943;2002;53;1.82;NA;Former West Germany;3 persons;2694;9-12 days;462.9641663
15944;1978;19;1.88;NA;NA;4 persons;3974;13-15 days;1784.693181
15945;1979;68;0.58;NA;NA;2 persons;2236;NA;NA
15946;1982;31;0.8;NA;NA;4 persons;3266;NA;NA
15947;1996;37;0.991;NA;Former East Germany;3 persons;2032;NA;NA
15948;1972;54;NA;NA;NA;2 persons;1887;NA;NA
15949;2000;63;0.561;NA;Former West Germany;1 person;2184;NA;NA
15950;2004;53;0.466;NA;Former West Germany;1 person;4649;13-15 days;975.5620755
15951;2013;83;0.77;yes;Former East Germany;2 persons;3457;20-22 days;7182.962429
15952;1971;31;NA;NA;NA;4 persons;1989;NA;NA
15953;2013;51;0.55;yes;Former West Germany;2 persons;2793;13-15 days;100
15954;1997;53;2.598;NA;Former East Germany;3 persons;3308;13-15 days;607.1658781
15955;1972;45;NA;NA;NA;3 persons;1887;NA;NA
15956;1998;30;0.62;NA;Former West Germany;2 persons;2900;13-15 days;1676.688589
15957;1976;18;1.41;NA;NA;3 persons;2786;NA;NA
15958;1981;28;0.166;NA;NA;1 person;1206;NA;NA
15959;2001;54;1;NA;Former West Germany;4 persons;2800;20-22 days;1056.326755
15960;2006;73;1.238;NA;Former West Germany;1 person;1047;NA;NA
15961;2004;79;0.66;NA;Former East Germany;2 persons;2635;NA;NA
15962;2003;23;1.864;NA;Former West Germany;4 persons;3291;NA;NA
15963;2005;56;1.2922;NA;Former West Germany;3 persons;5458;13-15 days;593.0358385
15964;2002;30;0.78;NA;Former East Germany;3 persons;3011;13-15 days;2133.927489
15965;1981;59;0.078;NA;NA;2 persons;2546;13-15 days;274.9958928
15966;1993;70;1.073;NA;Former West Germany;1 person;2013;6-8 days;634.5971157
15967;1994;47;1.42;NA;Former West Germany;4 persons;2389;13-15 days;1658.101316
15968;1993;49;1.269;NA;Former West Germany;3 persons;11501;9-12 days;235.8618612
15969;1996;36;0.7628;NA;Former West Germany;2 persons;5655;NA;NA
15970;2002;36;0.89;NA;Former West Germany;5+ persons;3645;NA;NA
15971;2016;16;1.87;yes;Former West Germany;4 persons;2743;6-8 days;336.6253534
15972;1987;68;0.97;NA;NA;2 persons;2966;NA;NA
15973;2004;39;0.793;NA;Former West Germany;4 persons;5579;9-12 days;501.3320946
15974;1991;54;0.939;NA;Former West Germany;2 persons;3561;16-19 days;627.9537164
15975;2018;20;1.26;yes;Former East Germany;2 persons;4316;9-12 days;1642.291852
15976;2013;47;1.24;yes;Former West Germany;4 persons;1729;13-15 days;958.0858802
15977;1984;31;0.752;NA;NA;3 persons;3041;9-12 days;779.8075718
15978;1973;32;NA;NA;NA;1 person;1774;13-15 days;150
15979;2006;53;0.7499;NA;Former West Germany;4 persons;3439;9-12 days;150
15980;2012;32;1.13;yes;Former West Germany;3 persons;2578;13-15 days;1512.359232
15981;2005;28;0.4543;NA;Former East Germany;2 persons;1668;9-12 days;1099.622262
15982;2005;36;0.9059;NA;Former West Germany;4 persons;2881;9-12 days;708.0480175
15983;2017;66;0.21;yes;Former East Germany;2 persons;2188;6-8 days;1377.537989
15984;2006;35;0.8613;NA;Former West Germany;5+ persons;3140;30+ days;2176.565769
15985;1984;28;0.628;NA;NA;4 persons;1988;NA;NA
15986;1991;60;0.937;NA;Former West Germany;2 persons;2723;9-12 days;685.5911923
15987;1988;38;0.801;NA;NA;3 persons;2937;20-22 days;472.6725418
15988;1999;60;0.702;NA;Former West Germany;1 person;1275;NA;NA
15989;2011;59;0.74;yes;Former East Germany;2 persons;2906;6-8 days;242.8739652
15990;1987;63;1.51;NA;NA;4 persons;5020;NA;NA
15991;1976;45;0.72;NA;NA;2 persons;2786;NA;NA
15992;1993;40;1.512;NA;Former West Germany;5+ persons;3259;13-15 days;719.5371174
15993;2005;34;0.854;NA;Former West Germany;1 person;1668;13-15 days;1658.101316
15994;2017;59;0.61;yes;Former West Germany;2 persons;3861;13-15 days;1520.338286
15995;1995;21;1.65;NA;Former West Germany;3 persons;3408;20-22 days;501.3878591
15996;2006;67;1.2969;NA;Former West Germany;2 persons;1645;30+ days;8018.124112
15997;2006;55;1.1812;NA;Former West Germany;2 persons;3887;30+ days;2326.777227
15998;2002;55;0.72;NA;Former West Germany;1 person;1426;20-22 days;627.9537164
15999;2002;24;0.97;NA;Former West Germany;4 persons;2377;13-15 days;566.8174128
16000;1975;15;1.2;NA;NA;5+ persons;3282;13-15 days;100
16001;2010;63;0.59;yes;Former West Germany;1 person;1822;9-12 days;401.7081103
16002;2018;79;0.72;yes;Former West Germany;1 person;1396;6-8 days;417.9720311
16003;2015;33;0.91;yes;Former West Germany;4 persons;3926;6-8 days;425.0464374
16004;1986;30;0.589;NA;NA;2 persons;2485;9-12 days;1840.842726
16005;2016;56;0.67;yes;Former West Germany;3 persons;2743;9-12 days;235.8618612
16006;2015;49;0.31;yes;Former East Germany;3 persons;2748;NA;NA
16007;1988;38;0.946;NA;NA;4 persons;5874;6-8 days;501.3878591
16008;2007;67;0.8803;NA;Former West Germany;2 persons;1917;13-15 days;523.0384285
16009;1977;57;1.12;NA;NA;5+ persons;1739;13-15 days;593.0358385
16010;1971;49;NA;NA;NA;1 person;1238;NA;NA
16011;1976;24;0.48;NA;NA;3 persons;2786;13-15 days;168.2412991
16012;2003;42;0.694;NA;Former West Germany;3 persons;2978;13-15 days;2404.790234
16013;2018;39;3.06;no;Former West Germany;2 persons;1143;6-8 days;183.7680339
16014;1972;52;NA;NA;NA;2 persons;2306;NA;NA
16015;2007;59;0.6179;NA;Former East Germany;2 persons;4424;13-15 days;889.0019539
16016;2016;60;0.67;yes;Former West Germany;1 person;914;NA;NA
16017;2008;58;1.0585;NA;Former West Germany;2 persons;1572;9-12 days;150
16018;2007;74;1.0903;NA;Former West Germany;2 persons;1917;13-15 days;462.9641663
16019;2010;24;1.62;no;Former West Germany;3 persons;1822;23-26 days;801.3292216
16020;1972;63;NA;NA;NA;1 person;839;NA;NA
16021;2011;73;0.79;yes;Former East Germany;2 persons;2076;16-19 days;1922.847898
16022;1996;34;1.096;NA;Former West Germany;2 persons;2651;NA;NA
16023;1972;60;NA;NA;NA;1 person;1887;NA;NA
16024;2018;59;0.89;yes;Former West Germany;1 person;1396;6-8 days;150
16025;2015;51;0.88;yes;Former East Germany;2 persons;3926;9-12 days;652.155717
16026;2017;69;1.1;no;Former West Germany;2 persons;3861;20-22 days;745.6701461
16027;1987;35;0.96;NA;NA;3 persons;5933;NA;NA
16028;2000;53;0.94;NA;Former West Germany;2 persons;1764;13-15 days;1840.842726
16029;2005;50;0.5522;NA;Former West Germany;1 person;1971;6-8 days;1840.842726
16030;1992;40;0.739;NA;Former East Germany;4 persons;2575;13-15 days;567.1036689
16031;1998;60;1;NA;Former West Germany;2 persons;1962;NA;NA
16032;1995;18;1.4;NA;Former West Germany;5+ persons;3947;13-15 days;681.9125351
16033;1996;37;0.5584;NA;Former West Germany;2 persons;1502;NA;NA
16034;1996;61;0.6612;NA;Former East Germany;2 persons;1502;NA;NA
16035;1974;60;1.19;NA;NA;1 person;2740;9-12 days;581.1701595
16036;1996;36;0.5623;NA;Former West Germany;1 person;2297;13-15 days;1676.688589
16037;2009;32;0.87;NA;Former West Germany;3 persons;3250;9-12 days;874.7734862
16038;2011;37;1.17;yes;Former East Germany;5+ persons;2906;13-15 days;2140.361
16039;1973;30;NA;NA;NA;2 persons;2957;9-12 days;201.6323035
16040;1987;55;0.64;NA;NA;2 persons;2966;30+ days;141.6763933
16041;2008;45;1.026;NA;Former West Germany;1 person;715;NA;NA
16042;2006;40;0.8909;NA;Former West Germany;4 persons;2542;30+ days;9768.109178
16043;2017;25;1.08;yes;Former West Germany;2 persons;1158;NA;NA
16044;2001;20;0.66;NA;Former West Germany;1 person;1565;13-15 days;1676.688589
16045;1988;27;0.676;NA;NA;2 persons;2937;13-15 days;634.5971157
16046;1986;43;1.427;NA;NA;5+ persons;1468;NA;NA
16047;1972;24;NA;NA;NA;3 persons;1174;NA;NA
16048;2012;57;0.87;yes;Former East Germany;1 person;678;NA;NA
16049;2007;39;0.8971;NA;Former East Germany;2 persons;1622;13-15 days;265.2977352
16050;1981;30;0.004;NA;NA;2 persons;2546;13-15 days;196.9422405
16051;1999;45;0.856;NA;Former West Germany;2 persons;2550;6-8 days;856.5231959
16052;2000;36;1.05;NA;Former West Germany;5+ persons;2520;27-29 days;157.7178897
16053;2018;46;0.84;yes;Former West Germany;2 persons;2793;30+ days;566.8174128
16054;2005;62;0.5271;NA;Former West Germany;2 persons;3184;9-12 days;2404.790234
16055;1987;21;0.4;NA;NA;1 person;1141;13-15 days;719.5371174
16056;2008;58;0.4604;NA;Former West Germany;1 person;1572;9-12 days;1512.359232
16057;1988;35;1.222;NA;NA;4 persons;2937;NA;NA
16058;2018;65;0.86;yes;Former West Germany;2 persons;2793;6-8 days;1658.101316
16059;2003;56;1.583;NA;Former West Germany;3 persons;4075;9-12 days;472.6725418
16060;1987;26;0.55;NA;NA;1 person;685;20-22 days;31.87271031
16061;1985;80;0.791;NA;NA;1 person;2524;20-22 days;343.8323664
16062;1995;67;0.659;NA;Former East Germany;1 person;807;6-8 days;923.6270613
16063;2011;58;0.92;yes;Former West Germany;2 persons;2076;13-15 days;2326.777227
16064;1985;39;0.059;NA;NA;1 person;1033;NA;NA
16065;2009;68;0.66;NA;Former West Germany;1 person;2685;27-29 days;1300.963428
16066;1997;31;0.968;NA;Former East Germany;5+ persons;2612;NA;NA
16067;1980;21;1;NA;NA;1 person;707;23-26 days;208.3009758
16068;2003;54;0.794;NA;Former West Germany;2 persons;2664;13-15 days;157.7178897
16069;2006;54;0.6576;NA;Former West Germany;3 persons;3140;13-15 days;1658.101316
16070;2011;25;2.32;yes;Former East Germany;5+ persons;4151;6-8 days;421.1260106
16071;2015;20;1.37;yes;Former West Germany;2 persons;3926;6-8 days;2537.395442
16072;1993;38;1.078;NA;Former West Germany;5+ persons;1821;27-29 days;183.7680339
16073;1976;35;0.92;NA;NA;3 persons;3114;23-26 days;1658.101316
16074;1975;48;1.65;NA;NA;3 persons;2246;20-22 days;416.900014
16075;1995;15;2.117;NA;Former West Germany;3 persons;3947;NA;NA
16076;1994;78;1.168;NA;Former West Germany;1 person;827;NA;NA
16077;1999;24;0.754;NA;Former West Germany;2 persons;340;13-15 days;1685.543023
16078;2017;40;0.77;yes;Former West Germany;4 persons;2960;13-15 days;168.2412991
16079;2008;19;2.7043;NA;Former West Germany;5+ persons;8575;NA;NA
16080;1993;28;0.462;NA;Former West Germany;2 persons;2013;30+ days;1658.101316
16081;1971;51;NA;NA;NA;4 persons;4862;13-15 days;1056.326755
16082;2014;53;0.26;yes;Former West Germany;1 person;3015;9-12 days;31.87271031
16083;1997;43;0.533;NA;Former West Germany;1 person;1828;30+ days;8123.141154
16084;1990;55;0.57;NA;Former West Germany;1 person;6456;16-19 days;235.8618612
16085;1993;29;0.492;NA;Former East Germany;1 person;1054;9-12 days;265.2977352
16086;2011;44;0.93;yes;Former West Germany;4 persons;3598;20-22 days;708.0480175
16087;1981;82;0.261;NA;NA;1 person;2010;NA;NA
16088;2014;55;0.71;no;Former West Germany;2 persons;3409;27-29 days;1172.773873
16089;2014;28;2.6;yes;Former East Germany;3 persons;3409;13-15 days;975.9120091
16090;1994;41;1.38;NA;Former West Germany;4 persons;3124;6-8 days;462.9641663
16091;2001;38;0.58;NA;Former West Germany;3 persons;1729;20-22 days;100
16092;1999;28;0.541;NA;Former East Germany;1 person;1275;16-19 days;262.2301341
16093;2008;42;0.3575;NA;Former West Germany;1 person;3287;20-22 days;11772.97396
16094;1983;57;0.697;NA;NA;2 persons;1081;13-15 days;235.8618612
16095;1990;79;0.843;NA;Former West Germany;1 person;2367;6-8 days;157.7178897
16096;2015;70;0.88;yes;Former West Germany;1 person;1178;16-19 days;255.3425797
16097;2014;74;0.97;yes;Former West Germany;1 person;918;NA;NA
16098;2010;46;1.05;yes;Former West Germany;3 persons;2383;6-8 days;1441.059556
16099;2010;49;1.04;yes;Former West Germany;3 persons;3645;9-12 days;816.6255157
16100;2010;63;0.85;yes;Former East Germany;2 persons;2664;9-12 days;778.104066
16101;1990;16;0.246;NA;Former West Germany;4 persons;4734;20-22 days;168.2412991
16102;1976;62;1.32;NA;NA;2 persons;1180;27-29 days;183.7680339
16103;1985;58;1.196;NA;NA;2 persons;1950;27-29 days;741.9473922
16104;1985;59;0.639;NA;NA;1 person;1491;NA;NA
16105;1978;29;1.22;NA;NA;3 persons;1987;NA;NA
16106;2014;20;0.68;yes;Former West Germany;1 person;656;13-15 days;1300.963428
16107;2017;59;1.92;yes;Former East Germany;3 persons;3861;20-22 days;800.0631325
16108;1993;47;0.541;NA;Former East Germany;1 person;1438;NA;NA
16109;2013;72;0.93;yes;Former West Germany;1 person;1729;NA;NA
16110;1979;34;1.71;NA;NA;4 persons;8944;13-15 days;100
16111;2009;32;0.59;NA;Former West Germany;5+ persons;2968;13-15 days;393.382901
16112;2015;38;0.65;no;Former West Germany;2 persons;1439;30+ days;2176.565769
16113;2008;47;0.6596;NA;Former East Germany;2 persons;2144;13-15 days;926.9731537
16114;1980;70;2;NA;NA;1 person;1273;NA;NA
16115;2012;59;1.93;yes;Former East Germany;3 persons;2035;20-22 days;100
16116;1990;31;0.662;NA;Former West Germany;4 persons;3658;13-15 days;168.2412991
16117;1987;26;0.43;NA;NA;1 person;2054;13-15 days;1964.687286
16118;1991;70;1.739;NA;Former West Germany;2 persons;1885;NA;NA
16119;1974;57;1.24;NA;NA;4 persons;4018;NA;NA
16120;1991;23;1.007;NA;Former West Germany;2 persons;3561;20-22 days;6611.980262
16121;1978;56;0.88;NA;NA;2 persons;3363;20-22 days;100
16122;1972;72;NA;NA;NA;2 persons;1887;20-22 days;1520.338286
16123;2018;66;0.41;yes;Former West Germany;2 persons;2793;23-26 days;4604.357777
16124;2018;84;1.69;yes;Former West Germany;2 persons;3301;9-12 days;1725.159201
16125;2017;55;0.65;yes;Former West Germany;1 person;1158;NA;NA
16126;1977;32;0.7;NA;NA;3 persons;2055;13-15 days;1056.326755
16127;2018;46;1.4;yes;Former West Germany;3 persons;3808;6-8 days;1658.101316
16128;2016;60;0.63;yes;Former West Germany;1 person;2482;6-8 days;100
16129;1994;61;1.352;NA;Former East Germany;2 persons;2389;9-12 days;1238.175141
16130;2011;65;0.8;yes;Former West Germany;2 persons;2352;13-15 days;627.9537164
16131;1998;42;1.34;NA;Former East Germany;4 persons;2559;13-15 days;100
16132;1993;36;0.548;NA;Former West Germany;4 persons;4217;20-22 days;1658.101316
16133;1973;33;NA;NA;NA;3 persons;2168;NA;NA
16134;1993;41;0.742;NA;Former West Germany;4 persons;2492;13-15 days;472.6725418
16135;1993;42;0.786;NA;Former West Germany;2 persons;6134;13-15 days;864.9793044
16136;1983;58;0.836;NA;NA;2 persons;2643;13-15 days;178.2125478
16137;2009;37;2.19;NA;Former East Germany;5+ persons;2120;30+ days;2237.88242
16138;1981;37;0.036;NA;NA;4 persons;2948;NA;NA
16139;2010;57;0.79;yes;Former East Germany;2 persons;2103;6-8 days;322.1162603
16140;2012;57;0.64;yes;Former West Germany;1 person;1221;6-8 days;593.0358385
16141;1977;27;1.6;NA;NA;3 persons;6639;13-15 days;1520.338286
16142;1972;24;NA;NA;NA;2 persons;2306;27-29 days;1172.773873
16143;1981;61;0.142;NA;NA;2 persons;2278;NA;NA
16144;1972;32;NA;NA;NA;2 persons;2726;16-19 days;870.3137267
16145;1989;22;1.175;NA;NA;2 persons;2439;13-15 days;2416.608171
16146;2000;53;1.444;NA;Former West Germany;2 persons;5375;13-15 days;758.6469321
16147;1985;48;0.854;NA;NA;2 persons;2524;13-15 days;253.8550183
16148;1975;31;0.82;NA;NA;4 persons;2591;NA;NA
16149;2017;52;1;yes;Former West Germany;2 persons;3346;NA;NA
16150;1975;64;1.53;NA;NA;3 persons;3801;13-15 days;1658.101316
16151;2005;43;0.3575;NA;Former West Germany;3 persons;3487;16-19 days;1941.04595
16152;1990;22;0.52;NA;Former East Germany;3 persons;1076;NA;NA
16153;1977;38;0.72;NA;NA;5+ persons;2055;NA;NA
16154;1992;37;0.526;NA;Former West Germany;1 person;2575;16-19 days;1829.885564
16155;1983;30;0.599;NA;NA;3 persons;1802;NA;NA
16156;1996;58;2.13;NA;Former West Germany;3 persons;3004;20-22 days;7717.287126
16157;1993;47;0.146;NA;Former West Germany;2 persons;2204;13-15 days;1987.066695
16158;2000;55;1.545;NA;Former West Germany;4 persons;3696;NA;NA
16159;2012;26;1.21;yes;Former West Germany;1 person;1493;6-8 days;284.0598248
16160;1984;43;0.897;NA;NA;2 persons;3041;13-15 days;681.9125351
16161;1978;26;1.3;NA;NA;4 persons;2904;13-15 days;548.1162166
16162;2006;45;0.7665;NA;Former West Germany;3 persons;2542;9-12 days;4538.69541
16163;1984;60;0.639;NA;NA;2 persons;1521;NA;NA
16164;2013;52;0.51;yes;Former West Germany;1 person;2261;13-15 days;708.0480175
16165;2009;41;1.14;NA;Former West Germany;4 persons;1272;6-8 days;708.0480175
16166;2003;52;0.619;NA;Former West Germany;1 person;2037;6-8 days;958.0858802
16167;2016;70;1.34;yes;Former West Germany;2 persons;1698;NA;NA
16168;1977;63;1.24;NA;NA;2 persons;1739;NA;NA
16169;1974;67;1.06;NA;NA;2 persons;2009;6-8 days;928.5913443
16170;2006;54;0.4792;NA;Former West Germany;1 person;3887;6-8 days;2674.684024
16171;1983;27;0.52;NA;NA;5+ persons;3123;NA;NA
16172;2001;57;0.71;NA;Former West Germany;1 person;1070;NA;NA
16173;2001;29;1.04;NA;Former West Germany;4 persons;906;NA;NA
16174;1993;26;0.462;NA;Former West Germany;2 persons;1821;13-15 days;2537.395442
16175;2005;59;0.5685;NA;Former West Germany;3 persons;3487;6-8 days;178.2125478
16176;2014;24;1.08;yes;Former West Germany;1 person;918;NA;NA
16177;2009;32;0.33;NA;Former West Germany;1 person;2968;9-12 days;3347.399568
16178;2008;44;0.9569;NA;Former West Germany;3 persons;5145;9-12 days;689.0881244
16179;2013;54;0.96;yes;Former West Germany;2 persons;1197;13-15 days;427.5495156
16180;2004;53;1.278;NA;Former East Germany;2 persons;1705;9-12 days;543.1453602
16181;2016;43;0.83;yes;Former East Germany;5+ persons;3919;13-15 days;2025.543006
16182;1989;24;0.537;NA;NA;1 person;2439;16-19 days;864.9793044
16183;1984;27;0.775;NA;NA;2 persons;1521;6-8 days;168.2412991
16184;2016;34;1.01;yes;Former West Germany;1 person;1437;9-12 days;1669.770753
16185;1999;74;1.141;NA;Former West Germany;1 person;1785;9-12 days;337.7000277
16186;1976;35;0.37;NA;NA;1 person;2786;16-19 days;168.2412991
16187;1971;73;NA;NA;NA;2 persons;884;NA;NA
16188;2001;47;1.26;NA;Former East Germany;3 persons;2800;6-8 days;424.7603141
16189;1995;37;0.747;NA;Former West Germany;4 persons;5740;9-12 days;719.5371174
16190;2014;30;0.61;yes;Former West Germany;1 person;1967;NA;NA
16191;1987;40;0.5;NA;NA;1 person;2054;13-15 days;1674.781952
16192;2000;41;0.506;NA;Former West Germany;1 person;1260;13-15 days;1857.388726
16193;1983;75;0.745;NA;NA;1 person;1081;NA;NA
16194;1994;50;1.386;NA;Former West Germany;4 persons;3124;13-15 days;228.2539869
16195;1993;46;0.42;NA;Former East Germany;2 persons;3642;NA;NA
16196;1991;27;0.182;NA;Former West Germany;1 person;1466;NA;NA
16197;1989;54;0.868;NA;NA;2 persons;2883;13-15 days;178.2125478
16198;2017;55;0.78;yes;Former West Germany;2 persons;3346;13-15 days;2537.395442
16199;1995;26;0.45;NA;Former West Germany;1 person;1345;NA;NA
16200;1974;50;0.94;NA;NA;1 person;2009;20-22 days;779.8075718
